"Model","Accuracy","F1_Score","Precision","Recall"
"Multinomial Lasso (Balanced)",0.6424,0.6462,0.6529,0.6423
"Multinomial Lasso (At-Risk Majority)",0.717,0.6062,0.7502,0.5682
